Date,City,Country,Latitude,Longitude,MaxTemp,Humidity,Cloudiness,Wind Speed
1595264525,Katsuura,JP,35.13,140.3,75.0,91,100,8.72
1595264525,Rikitea,PF,-23.12,-134.97,67.96,64,82,15.17
1595264525,Saryozek,KZ,44.36,77.98,76.48,25,71,7.09
1595264525,Ushuaia,AR,-54.8,-68.3,26.6,92,0,1.39
1595264525,Cape Town,ZA,-33.93,18.42,62.01,77,0,5.82
1595264525,Jiamusi,CN,46.83,130.35,61.93,94,9,5.73
1595264525,Bluff,NZ,-46.6,168.33,39.0,83,100,3.0
1595264261,Carnarvon,AU,-24.87,113.63,53.6,87,0,6.93
1595264525,Atuona,PF,-9.8,-139.03,79.72,78,15,17.96
1595264406,Arraial do Cabo,BR,-22.97,-42.03,82.4,51,0,10.29
1595264325,Punta Arenas,CL,-53.15,-70.92,32.0,90,95,4.0
1595264525,Saskylakh,RU,71.92,114.08,52.2,62,100,4.41
1595264525,Pérez,AR,-33.0,-60.77,72.0,77,75,8.05
1595264525,Nemuro,JP,43.32,145.57,60.33,94,17,5.35
1595264525,Kainantu,PG,-6.29,145.87,57.97,95,33,1.68
1595264526,Kapaa,US,22.08,-159.32,80.6,74,90,17.22
1595264526,Clyde River,CA,70.47,-68.59,44.6,93,90,9.17
1595264526,Chitipa,MW,-9.7,33.27,57.07,73,0,7.09
1595264526,Arlit,NE,18.74,7.39,100.35,20,19,17.56
1595264475,George Town,MY,5.41,100.34,78.8,88,40,4.68
1595264526,Ponta do Sol,PT,32.67,-17.1,73.99,59,0,2.19
1595264283,Castro,BR,-24.79,-50.01,70.48,54,0,8.05
1595264526,Port Alfred,ZA,-33.59,26.89,60.8,62,0,4.45
1595264526,Pindiga,NG,9.98,10.93,73.98,86,89,5.28
1595264376,Athabasca,CA,54.72,-113.29,67.26,67,15,7.52
1595264526,Hermanus,ZA,-34.42,19.23,57.99,81,0,1.99
1595264526,Butaritari,KI,3.07,172.79,82.6,67,99,6.51
1595264526,Ilulissat,GL,69.22,-51.1,55.4,46,40,5.82
1595264526,Pevek,RU,69.7,170.31,45.55,60,0,3.15
1595264526,Falam,MM,22.92,93.68,62.65,100,100,3.85
1595264527,Irámuco,MX,19.95,-100.92,71.6,56,40,3.36
1595264527,Linxia Chengguanzhen,CN,35.6,103.21,60.24,79,76,2.21
1595264527,Leningradskiy,RU,69.38,178.42,40.55,80,19,7.38
1595264527,Bethel,US,41.37,-73.41,89.01,58,1,9.17
1595264527,Tunduma,TZ,-9.3,32.77,55.65,69,31,8.23
1595264527,Codrington,AU,-38.27,141.97,49.8,77,82,6.26
1595264527,Horta,PT,38.53,-28.63,75.2,60,75,6.93
1595264527,Kavieng,PG,-2.57,150.8,81.75,76,38,5.82
1595264527,Kautokeino,NO,69.01,23.04,59.65,91,100,5.53
1595264527,Mataura,NZ,-46.19,168.86,39.0,83,100,3.0
1595264527,Grand Gaube,MU,-20.01,57.66,71.01,54,48,5.99
1595264527,Klaksvík,FO,62.23,-6.59,50.0,93,75,9.17
1595264528,Hualmay,PE,-11.1,-77.61,65.71,67,72,8.55
1595264528,West Wendover,US,40.74,-114.07,87.8,15,1,3.36
1595264528,Tiksi,RU,71.69,128.87,46.58,87,100,14.63
1595264528,Churapcha,RU,62.0,132.43,68.58,60,100,14.76
1595264528,Hithadhoo,MV,-0.6,73.08,84.22,79,100,14.12
1595264528,Issia,CI,6.49,-6.59,78.51,91,85,4.29
1595264528,Airai,TL,-8.93,125.41,55.11,92,16,2.37
1595264266,Eureka,US,40.8,-124.16,57.0,100,66,3.0
1595264528,Mossamedes,AO,-15.2,12.15,71.22,59,0,8.01
1595264528,Sørland,NO,67.67,12.69,55.4,76,40,8.05
1595264528,Moree,AU,-29.47,149.85,39.2,80,39,6.93
1595264528,Saryagash,KZ,41.45,69.17,89.6,25,75,23.04
1595264529,Verkhovazh'ye,RU,60.75,42.05,66.9,62,98,4.5
1595264529,Port Lincoln,AU,-34.73,135.87,53.08,63,50,5.64
1595264529,Isangel,VU,-19.55,169.27,68.11,61,7,6.85
1595264529,Ossora,RU,59.24,163.07,50.65,92,100,9.33
1595264529,Sisimiut,GL,66.94,-53.67,52.5,68,100,5.82
1595264423,Viedma,AR,-40.81,-63.0,54.0,80,100,5.99
1595264529,Qaanaaq,GL,77.48,-69.36,47.07,75,95,0.18
1595264529,Olavarría,AR,-36.89,-60.32,54.0,98,97,1.01
1595264438,Yellowknife,CA,62.46,-114.35,73.0,68,40,4.7
1595264529,Upernavik,GL,72.79,-56.15,51.57,46,13,8.1
1595264529,Batagay-Alyta,RU,67.8,130.41,56.17,90,26,1.57
1595264428,Hobart,AU,-42.88,147.33,46.99,81,90,8.05
1595264529,Necochea,AR,-38.55,-58.74,51.01,99,100,15.01
1595264530,Chokurdakh,RU,70.63,147.92,64.4,53,91,9.08
1595264425,Lompoc,US,34.64,-120.46,60.8,77,33,6.93
1595264530,Bairiki Village,KI,1.33,172.98,82.4,74,20,4.7
1595264530,Cherskiy,RU,68.75,161.3,61.16,56,69,2.84
1595264530,Rurrenabaque,BO,-14.44,-67.53,91.13,43,10,4.9
1595264530,Kjøpsvik,NO,68.1,16.37,55.4,82,75,4.7
1595264530,Northam,GB,51.03,-4.22,63.0,66,0,4.0
1595264530,Pailón,BO,-17.65,-62.75,86.0,62,75,20.8
1595264310,Mar del Plata,AR,-38.0,-57.56,53.6,100,90,11.41
1595264530,Simpsonville,US,34.74,-82.25,93.99,59,1,3.36
1595264530,Lagoa,PT,39.05,-27.98,69.31,70,17,3.24
1595264530,Bonthe,SL,7.53,-12.51,78.39,85,100,15.99
1595264464,Souillac,MU,-20.52,57.52,69.8,56,75,8.05
1595264530,Stropkov,SK,49.2,21.65,75.99,71,12,2.39
1595264287,Devils Lake,US,48.11,-98.87,71.6,68,1,5.82
1595264531,Dingle,PH,11.0,122.67,77.63,82,37,4.18
1595264386,Saint-Philippe,RE,-21.36,55.77,69.8,60,40,17.22
1595264531,Middle Island,US,40.88,-72.94,93.2,46,1,8.05
1595264531,Alofi,NU,-19.06,-169.92,75.2,100,75,4.7
1595264531,Faanui,PF,-16.48,-151.75,77.16,84,40,23.85
1595264531,Sabang,ID,5.89,95.32,83.64,74,100,6.98
1595264445,Avarua,CK,-21.21,-159.78,75.2,73,100,21.92
1595264531,Orlik,RU,52.52,99.83,49.64,69,5,0.38
1595264531,Port Blair,IN,11.67,92.75,81.86,78,100,4.27
1595264531,Ratnagiri,IN,16.98,73.3,81.75,83,100,3.15
1595264531,Carutapera,BR,-1.2,-46.02,85.68,63,34,10.6
1595264531,Busselton,AU,-33.65,115.33,48.99,64,100,12.08
1595264531,Chara,RU,56.91,118.26,56.05,87,99,1.21
1595264531,Mayumba,GA,-3.43,10.66,72.93,83,99,3.69
1595264532,Vodnyy,RU,63.5,53.41,62.47,61,0,4.94
1595264532,Vaini,TO,-21.2,-175.2,71.6,83,40,8.05
1595264532,Cayenne,GF,4.93,-52.33,84.2,70,73,5.82
1595264532,Naze,JP,28.37,129.48,80.6,94,20,4.7
1595264386,Albany,US,42.6,-73.97,90.0,42,75,10.33
1595264532,Barrow,US,71.29,-156.79,35.6,95,90,8.05
1595264532,Atar,MR,20.52,-13.05,108.95,12,32,4.97
1595264407,Portland,US,45.52,-122.68,75.0,68,1,2.55
1595264532,Mahébourg,MU,-20.41,57.7,69.8,56,75,8.05
1595264532,Yining,CN,29.04,114.56,72.91,92,97,1.36
1595264532,Thurso,GB,58.59,-3.53,57.0,87,40,2.24
1595264532,Rayong,TH,12.83,101.43,86.0,89,100,6.55
1595264532,Laas,IT,46.62,10.7,75.2,25,40,8.05
1595264533,Tasiilaq,GL,65.61,-37.64,46.4,75,20,11.41
1595264533,Half Moon Bay,US,37.46,-122.43,66.0,93,75,5.82
1595264477,Jamestown,US,42.1,-79.24,81.0,60,75,14.99
1595264533,Norman Wells,CA,65.28,-126.83,57.2,87,75,4.7
1595264533,Richards Bay,ZA,-28.78,32.04,64.6,76,0,10.38
1595264533,Ugoofaaru,MV,5.67,73.0,83.16,76,100,18.77
1595264526,New Norfolk,AU,-42.78,147.06,45.0,89,97,1.01
1595264533,Lavrentiya,RU,65.58,-171.0,44.15,79,93,9.35
1595264533,Chudey,UA,48.05,25.62,72.0,64,20,3.36
1595264533,Roald,NO,62.58,6.13,57.99,81,40,19.46
1595264533,Ulladulla,AU,-35.35,150.47,48.2,57,0,13.87
1595264533,Baraboo,US,43.47,-89.74,75.99,56,40,4.7
1595264533,Pachino,IT,36.72,15.09,80.01,77,20,7.25
1595264533,Puerto Ayora,EC,-0.74,-90.35,71.6,83,75,6.93
1595264534,Kalevala,RU,65.2,31.17,72.25,66,78,4.23
1595264534,Gazojak,TM,41.19,61.4,94.86,14,2,12.15
1595264534,Waddān,LY,29.16,16.14,93.99,22,0,14.58
1595264534,Uspenka,UA,48.39,39.16,73.2,59,24,7.56
1595264534,Rudnogorsk,RU,57.26,103.75,43.68,88,18,0.89
1595264453,Jardim,BR,-21.48,-56.14,88.48,28,0,9.46
1595264534,Puerto Suárez,BO,-18.95,-57.8,91.4,31,0,10.29
1595264534,Severomuysk,RU,56.15,113.43,38.75,97,100,5.55
1595264534,Constitución,CL,-35.33,-72.42,55.76,81,53,12.86
1595264534,Rawlins,US,41.79,-107.24,77.0,40,1,9.17
1595264534,St. Pete Beach,US,27.73,-82.74,93.0,1,0,1.01
1595264528,Bengkulu,ID,-3.8,102.27,77.85,87,96,7.29
1595264534,Sitka,US,57.05,-135.33,57.2,93,90,12.75
1595264535,Forsytheganj,BY,52.63,29.73,70.45,73,40,3.74
1595264535,São Filipe,CV,14.9,-24.5,77.94,78,29,9.26
1595264535,Syamzha,RU,60.02,41.06,60.69,90,100,0.34
1595264523,Kinshasa,CD,-4.32,15.32,82.4,61,0,6.93
1595264535,Khatanga,RU,71.97,102.5,51.53,71,52,7.54
1595264535,Fremont,US,37.55,-121.99,69.01,77,90,5.82
1595264535,Grindavik,IS,63.84,-22.43,53.6,62,75,5.82
1595264535,El Vigia,VE,8.62,-71.65,88.5,56,95,4.05
1595264535,Kaitangata,NZ,-46.28,169.85,50.0,67,100,4.14
1595264511,Iqaluit,CA,63.75,-68.51,44.6,100,90,8.59
1595264535,Vao,NC,-22.67,167.48,68.83,67,2,13.82
1595264535,Yeppoon,AU,-23.13,150.73,51.8,81,94,3.36
1595264535,Kiunga,PG,-6.12,141.29,73.02,98,64,2.28
1595264441,Guaporé,BR,-28.85,-51.89,82.0,29,7,5.26
1595264535,Umm Kaddadah,SD,13.6,26.69,85.24,48,78,8.84
1595264535,Rundu,NA,-17.93,19.77,69.8,21,0,8.05
1595264536,Baykit,RU,61.67,96.37,51.13,84,37,3.51
1595264536,Mount Isa,AU,-20.73,139.5,60.8,25,76,9.17
1595264536,Fairbanks,US,64.84,-147.72,63.0,77,1,2.08
1595264536,Kętrzyn,PL,54.08,21.38,63.79,92,91,12.1
1595264536,Bredasdorp,ZA,-34.53,20.04,59.0,87,0,5.82
1595264438,Frederico Westphalen,BR,-27.36,-53.39,77.0,49,2,8.99
1595264536,Srandakan,ID,-7.94,110.25,77.04,86,67,7.58
1595264536,Nome,US,64.5,-165.41,48.99,93,90,4.7
1595264536,Ixtapa,MX,20.7,-105.2,89.01,62,5,3.87
1595264536,Byron Bay,AU,-28.65,153.62,51.8,87,40,4.7
1595264536,Nadym,RU,65.53,72.52,55.9,66,88,8.01
1595264536,La Ronge,CA,55.1,-105.28,66.2,72,75,9.17
1595264537,Zharkent,KZ,44.16,80.0,74.8,40,11,6.78
1595264537,Hirara,JP,24.8,125.28,84.72,78,0,9.37
1595264534,Ribeira Grande,PT,38.52,-28.7,75.2,60,75,6.93
1595264537,Pringsewu,ID,-5.36,104.97,73.31,92,2,0.83
1595264537,Port Elizabeth,ZA,-33.92,25.57,60.8,100,90,10.29
1595264537,Saint Paul Harbor,US,57.79,-152.41,60.8,72,1,13.87
1595264537,Bambous Virieux,MU,-20.34,57.76,71.01,56,75,8.05
1595264537,Beloha,MG,-25.17,45.05,62.74,73,0,12.37
1595264412,Champerico,GT,14.3,-91.92,86.0,70,75,4.7
1595264409,Saint George,US,37.1,-113.58,87.8,16,1,8.05
1595264537,Vanavara,RU,60.34,102.28,47.95,80,42,0.78
1595264537,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,90,12.75
1595264537,Trat,TH,12.5,102.5,76.86,90,100,2.28
1595264537,Lüderitz,NA,-26.65,15.16,78.8,30,0,3.36
1595264485,Makakilo City,US,21.35,-158.09,78.8,69,40,3.36
1595264538,Ambanja,MG,-13.68,48.45,70.77,74,4,2.26
1595264538,Honiara,SB,-9.43,159.95,75.2,94,40,2.98
1595264538,Chui,UY,-33.7,-53.46,71.01,76,91,9.28
1595264538,Bensonville,LR,6.45,-10.61,78.8,94,75,10.29
1595264527,Bogorodskoye,RU,56.55,37.88,62.8,93,75,4.54
1595264538,Ushtobe,KZ,45.25,77.98,77.56,31,65,2.06
1595264538,Ol'ga,RU,43.74,135.29,64.92,95,100,4.63
1595264538,Kiruna,SE,67.86,20.23,59.0,93,100,1.12
1595264538,Vagay,RU,57.94,69.02,59.32,67,80,7.27
1595264538,Karratha,AU,-20.74,116.85,68.43,47,0,14.72
1595264538,Sobolevo,RU,54.43,31.9,65.48,88,91,4.94
1595264538,Krasnoarmeyskoye,RU,52.72,50.03,67.33,68,32,5.41
1595264538,Murgab,TM,37.5,61.97,96.8,20,40,9.17
1595264538,Kitimat,CA,54.05,-128.65,62.01,91,90,3.69
1595264539,Peniche,PT,39.36,-9.38,75.0,74,38,8.01
1595264539,Caucaia,BR,-3.74,-38.65,84.2,62,40,16.11
1595264539,Tabuk,PH,17.42,121.44,74.5,85,55,1.92
1595264539,Menongue,AO,-14.66,17.69,62.98,34,0,4.16
1595264539,Mehamn,NO,71.04,27.85,50.0,100,90,4.7
1595264539,Berezovyy,RU,51.67,135.7,64.85,93,100,5.73
1595264539,Palmer,US,42.16,-72.33,89.01,55,75,11.41
1595264539,Salalah,OM,17.02,54.09,80.6,94,75,6.93
1595264539,Dikson,RU,73.51,80.55,42.89,90,58,13.44
1595264539,Muhafazat Lahij,YE,13.17,44.58,91.62,35,73,15.57
1595264539,Caravelas,BR,-17.71,-39.25,78.69,66,35,8.66
1595264539,Severo-Kuril'sk,RU,50.68,156.12,48.45,86,22,5.06
1595264540,Sistranda,NO,63.73,8.83,55.4,66,40,12.75
1595264528,Lebu,CL,-37.62,-73.65,54.27,83,100,9.26
1595264360,Aberdeen,GB,57.14,-2.1,57.2,82,100,5.82
1595264540,Bagdarin,RU,54.43,113.6,48.15,68,98,8.41
1595264540,Nichinan,JP,31.6,131.37,80.6,83,90,4.7
1595264410,Inverell,AU,-29.78,151.12,37.0,88,34,1.99
1595264540,Port Hawkesbury,CA,45.62,-61.35,81.0,65,1,14.99
1595264540,Valdivia,CL,-39.81,-73.25,44.6,100,90,5.82
1595264540,Kendari,ID,-3.94,122.5,73.71,91,47,2.39
1595264540,Bay Roberts,CA,47.6,-53.26,79.0,61,100,10.42
1595264540,Nanortalik,GL,60.14,-45.24,50.77,65,51,2.44
1595264425,Scarborough,GB,54.28,-0.4,62.01,67,81,3.69
1595264540,Gravdal,NO,68.12,13.5,57.2,67,75,6.93
1595264540,Kruisfontein,ZA,-34.0,24.73,55.17,95,2,2.75
1595264540,Oranjemund,NA,-28.55,16.43,66.94,33,0,3.67
1595264414,Cardston,CA,49.2,-113.3,64.4,68,75,6.93
1595264540,Ambulu,ID,-8.35,113.61,74.8,89,59,3.8
1595264541,Alghero,IT,40.56,8.32,80.01,42,0,7.0
1595264541,Sovetskiy,RU,61.36,63.58,58.98,63,0,6.04
1595264541,Calamar,CO,10.25,-74.91,89.6,59,40,11.41
1595264541,Yatou,CN,37.15,122.38,69.44,92,0,6.96
1595264541,Yar-Sale,RU,66.83,70.83,61.38,53,100,6.17
1595264541,Novoanninskiy,RU,50.53,42.67,78.01,52,25,1.01
1595264541,Flin Flon,CA,54.77,-101.86,71.6,46,75,5.82
1595264401,Lázaro Cárdenas,MX,17.96,-102.2,89.44,60,10,0.94
1595264541,Quimper,FR,48.0,-4.1,73.4,46,19,11.41
1595264542,La Asuncion,VE,11.03,-63.86,75.2,94,43,17.22
1595264542,Collie,AU,-33.37,116.15,48.99,64,82,5.93
1595264542,Kenora,CA,49.82,-94.43,66.2,52,75,3.36
1595264542,Esperance,AU,-33.87,121.9,50.0,87,90,6.93
1595264542,Talnakh,RU,69.49,88.4,51.8,93,40,6.71
1595264482,Rio Grande,BR,-32.03,-52.1,87.8,40,48,9.17
1595264462,Lebanon,US,36.21,-86.29,91.99,55,1,10.29
1595264542,Pangnirtung,CA,66.15,-65.71,46.4,100,90,12.75
1595264542,Shahr-e Bābak,IR,30.12,55.12,74.77,17,12,14.92
1595264542,Papara,BR,-3.98,-38.73,84.2,62,40,16.11
1595264542,Waipawa,NZ,-41.41,175.52,54.0,85,77,9.04
1595264542,Cidreira,BR,-30.18,-50.21,74.88,64,4,3.2
1595264542,Cockburn Town,TC,21.46,-71.14,87.8,62,40,13.87
1595264542,Dhidhdhoo,MV,6.88,73.1,83.03,77,100,17.38
1595264543,Faya,SA,18.39,42.45,68.0,68,99,5.82
1595264543,Ogdensburg,US,44.69,-75.49,82.99,58,40,10.29
1595264543,San Patricio,MX,19.22,-104.7,89.6,66,5,6.93
1595264543,Boquira,BR,-12.82,-42.73,86.04,26,60,9.93
1595264543,Moanda,GA,-1.56,13.22,75.2,88,75,6.93
1595264543,Ende,ID,-8.84,121.66,73.54,78,3,0.74
1595264543,Berlevåg,NO,70.86,29.09,55.4,87,75,2.24
1595264543,Boa Vista,BR,2.82,-60.67,75.2,88,75,10.29
1595264543,Ambilobe,MG,-13.2,49.05,68.76,70,58,3.76
1595264543,Dajal,PK,29.56,70.38,104.77,33,49,23.49
1595264529,Novozavedennoye,RU,44.26,43.64,91.4,24,46,8.95
1595264449,Fallon,US,39.47,-118.78,88.0,20,40,6.93
1595264513,Forestville,US,38.85,-76.88,96.01,44,40,5.82
1595264544,Gizo Government Station,SB,-8.1,156.84,80.49,83,24,15.95
1595264544,Sigli,ID,5.38,95.96,79.63,79,85,3.87
1595264544,Buala,SB,-8.14,159.59,78.71,84,27,6.29
1595264544,Novorzhev,RU,57.03,29.33,70.63,70,50,2.39
1595264494,Longyearbyen,SJ,78.22,15.64,44.6,93,75,6.93
1595264423,Port Hardy,CA,50.7,-127.42,59.0,87,75,4.7
1595264544,Guarda,PT,40.54,-7.27,93.0,18,14,4.0
1595264544,Raia,IN,15.3,73.97,80.37,85,100,2.84
1595264544,Hilo,US,19.73,-155.09,75.2,78,90,3.36
1595264544,Kushiro,JP,42.98,144.37,61.25,92,54,3.51
1595264544,Omboué,GA,-1.57,9.26,74.57,76,36,8.79
1595264544,Kachīry,KZ,53.07,76.1,68.68,76,83,5.88
1595264544,Ribas do Rio Pardo,BR,-20.44,-53.76,89.49,22,0,8.57
1595264545,Yarmouth,US,41.71,-70.23,84.0,69,1,10.29
1595264329,Dubbo,AU,-32.25,148.62,32.0,91,6,3.36
1595264545,Hofn,IS,64.25,-15.21,57.2,62,75,11.41
1595264545,Izoplit,RU,56.63,36.22,64.6,90,97,4.81
1595264435,Mahon,ES,39.89,4.27,80.6,61,0,8.05
1595264545,Poronaysk,RU,49.22,143.12,57.36,96,100,7.7
1595264545,Sri Aman,MY,1.24,111.46,75.2,100,47,0.22
1595264545,Ukiah,US,39.15,-123.21,71.01,72,1,3.24
1595264489,Maceió,BR,-9.67,-35.74,82.4,58,40,17.22
1595264545,Provideniya,RU,64.38,-173.3,46.33,74,66,4.27
1595264379,Batemans Bay,AU,-35.72,150.18,37.0,92,0,5.99
1595264545,Surab,PK,28.49,66.26,79.29,15,0,8.05
1595264546,Trelew,AR,-43.25,-65.31,46.76,75,100,15.64
1595264546,Aksha,RU,50.28,113.29,48.74,67,7,4.63
1595264546,Amarante,BR,-6.24,-42.85,94.59,29,65,9.98
1595264546,Vila Velha,BR,-20.33,-40.29,78.8,65,40,8.05
1595264546,Torbay,CA,47.67,-52.73,78.01,57,40,16.11
1595264546,Ostrovnoy,RU,68.05,39.51,71.55,58,63,6.42
1595264546,Andenes,NO,69.31,16.12,55.4,87,75,2.24
1595264497,Margate,GB,51.38,1.39,69.01,45,56,3.0
1595264546,Narsaq,GL,60.92,-46.05,69.8,30,20,4.7
1595264428,Hamilton,US,39.18,-84.53,90.0,58,40,6.6
1595264463,Bathsheba,BB,13.22,-59.52,84.2,74,75,17.22
1595264546,Ocós,GT,14.51,-92.19,86.0,84,75,4.36
1595264540,Sambava,MG,-14.27,50.17,70.79,77,1,18.14
1595264546,Ust-Kuyga,RU,70.02,135.6,62.42,81,4,1.74
1595264546,Nouadhibou,MR,20.93,-17.03,86.0,51,41,5.82
1595264546,Fortuna,US,40.6,-124.16,55.99,100,90,4.7
1595264547,Alugan,PH,12.22,125.48,81.95,81,82,3.98
1595264547,Flinders,AU,-34.58,150.86,46.99,68,0,1.01
1595264547,Bull Savanna,JM,17.89,-77.59,84.76,66,48,12.66
1595264547,KwaDukuza,ZA,-29.33,31.29,60.8,87,0,3.36
1595264361,Innisfail,AU,-17.53,146.03,67.68,91,100,3.11
1595264547,Kirakira,SB,-10.45,161.92,75.54,84,17,7.87
1595264547,Kharp,RU,66.8,65.81,59.5,59,22,4.72
1595264534,Vardø,NO,70.37,31.11,53.6,93,82,10.29
1595264547,Caxito,AO,-8.58,13.66,77.0,69,13,10.29
1595264547,San Quintín,MX,30.48,-115.95,76.55,53,0,19.26
1595264547,Pochutla,MX,15.74,-96.47,88.0,62,75,9.17
1595264547,Moskovskiy,RU,55.6,37.35,68.0,60,75,11.18
1595264403,East London,ZA,-33.02,27.91,67.26,42,0,1.25
1595264547,Safi,MA,32.3,-9.24,72.61,80,46,14.2
1595264548,Almaznyy,RU,48.04,40.05,82.4,42,20,6.71
1595264548,Piaçabuçu,BR,-10.41,-36.43,79.09,69,38,13.31
1595264548,Haines Junction,CA,60.75,-137.51,57.7,74,87,3.96
1595264421,Chimbote,PE,-9.09,-78.58,65.25,73,95,9.22
1595264548,Urucará,BR,-2.54,-57.76,94.89,36,54,5.82
1595264548,Pangody,RU,65.85,74.49,56.53,68,100,9.31
1595264504,Hong Kong,HK,22.29,114.16,86.0,79,99,5.01
1595264456,Alexandria,EG,31.22,29.96,82.4,65,0,11.41
1595264548,Bhīmunipatnam,IN,17.88,83.43,84.2,79,40,5.82
1595264398,Brisbane,AU,-27.47,153.03,57.99,76,99,5.82
1595264548,Bodden Town,KY,19.28,-81.25,86.0,88,40,7.76
1595264548,Taoudenni,ML,22.68,-3.98,115.07,8,5,16.67
1595264548,Kahului,US,20.89,-156.47,78.8,65,40,14.99
1595264549,San Juan,AR,-31.54,-68.54,58.17,50,3,9.17
1595264549,Padang,ID,-0.95,100.35,78.75,80,59,5.32
1595264549,Progreso,MX,21.28,-89.67,91.0,66,40,6.93
1595264549,Lagos,NG,6.58,3.75,82.4,74,40,6.93
1595264549,Nacala,MZ,-14.54,40.67,68.94,80,27,6.82
1595264549,Pine Bluff,US,34.23,-92.0,91.99,58,1,3.36
1595264549,Khovd,MN,48.01,91.64,70.77,48,53,4.45
1595264549,Viranşehir,TR,37.24,39.76,94.32,10,0,12.33
1595264549,Labuhan,ID,-6.88,112.21,77.68,86,67,7.81
1595264549,Zheleznodorozhnyy,RU,55.75,38.0,69.8,68,40,8.95
1595264549,Kirkenær,NO,60.46,12.06,64.4,55,100,2.24
1595264549,Kargasok,RU,59.06,80.86,56.73,92,41,12.08
1595264549,North Bend,US,43.41,-124.22,63.0,100,90,7.34
1595264550,Licata,IT,37.11,13.95,78.8,65,5,10.29
1595264550,Sirte,LY,31.21,16.59,79.5,65,0,13.33
1595264550,Slave Lake,CA,55.28,-114.77,64.4,77,1,5.82
1595264550,Nikolskoye,RU,59.7,30.79,75.2,50,40,6.71
1595264550,Mayya,RU,61.73,130.28,71.6,78,40,6.71
